ID;createdAt;createdBy;modifiedAt;modifiedBy;account_id;customer_name;account_type;status;region;market_unit;country;industry_code;to_cee_id;acv;health_rank;cloud_health_assessment;cs_sentiment;cs_sentiment_reason;entitlement_consumption;consumption_actual;shelfware;days_in_shelfware;products;renewal_type;next_renewal_date;days_until_next_renewal;ce_acct_classification;int_acct_classification;last_touch;satisfaction_score;contract_start_date;currency_code;exec_sponsor_required;executive_alignment_code;partner_type_code;partner;live_apps;planned_apps;rise_status_code;paygo_status_code;adjustment;adjustment_reason_code;engagement_score;next_renewal_date_criticality;deleted
985647e4-9944-11ec-b909-0242ac120002;2020-06-11 21:32:17.847000000;jason.bell01@sap.com;2021-07-15 01:48:19.891000000;jason.bell01@sap.com;0000956389__LOB00008;Zespri Group Limited - Business Technology Platform;LOB - Business Technology Platform;Active;APJ excl. GC;ANZ;New Zealand;Fruit & Tree Nuts, NEC;040787221A8E4645C17002DF03754AB66;1376019.60;Healthy;Healthy(CHS);Yellow;None;0.00;0.00;;0;[LPR879];;2026-01-11;1644;Nurture;Industry Led;2020-05-18;0;2017-11-23;EUR;false;2;1;Deloitte;1;0;0;0;0.00;0;45.00;3;false
98564b90-9944-11ec-b909-0242ac120002;2020-12-08 22:40:39.891000000;jason.bell01@sap.com;2021-07-15 01:48:19.905000000;jason.bell01@sap.com;0000956389__LOB00016;Zespri Group Limited - Analytics;LOB - Analytics;Active;APJ excl. GC;ANZ;New Zealand;Fruit & Tree Nuts, NEC;040787221A8E4645C17002DF03754AB66;102195.24;Healthy;Healthy(CHS);Undefined;None;0.80;0.00;;0;[LPR001];;2026-01-11;1644;Nurture;Industry Led;;0;2021-01-12;EUR;false;0;0;;0;0;0;0;0.00;0;0.00;3;false
98564cd0-9944-11ec-b909-0242ac120002;2020-06-11 21:32:17.709000000;jason.bell01@sap.com;2021-07-15 01:48:19.987000000;jason.bell01@sap.com;0001145057__LOB00008;Zag Limited - Business Technology Platform;LOB - Business Technology Platform;Active;APJ excl. GC;ANZ;New Zealand;Comp Related Svcs;;6486.12;Average;Neutral(CHS);Undefined;None;0.23;0.05;;0;[LPR673];;2021-07-18;6;Digital;Midmarket-Field;2019-07-21;0;2015-12-16;EUR;false;0;0;;0;0;0;0;0.00;0;0.00;0;false
98564dfc-9944-11ec-b909-0242ac120002;2020-06-11 21:32:13.924000000;jason.bell01@sap.com;2021-07-15 01:48:20.952000000;jason.bell01@sap.com;0001087662__LOB00016;Woolworths Group Limited - Analytics;LOB - Analytics;Active;APJ excl. GC;ANZ;Australia;Apparel and Accessories, NEC;060787221A8E4645C17002DF03754AB66;114605.95;Healthy;Healthy(CHS);Yellow;Customer Controls;0.00;0.48;;0;[LPR001];;2021-10-28;108;Feature;Industry Led;2020-03-19;0;2015-02-28;EUR;false;2;0;;1;0;0;0;0.00;0;15.00;1;false
98564f1e-9944-11ec-b909-0242ac120002;2020-06-11 21:30:55.014000000;jason.bell01@sap.com;2021-07-22 05:57:39.232000000;jason.scott@sap.com;0000161430__LOB00008;BHP Billiton Group Operations Pty. Ltd. - Business Technology Platform;LOB - Business Technology Platform;Active;APJ excl. GC;ANZ;Australia;Iron Ores;010787221A8E4645C17002DF03754AB66;195188.12;Healthy;Healthy(CHS);Yellow;None;0.00;0.16;;0;[LPR499,LPR776,LPR868,LPR878,LPR663];;2022-10-08;453;Feature;GSS-SCP;2021-05-28;0;2015-12-01;EUR;false;1;0;;2;2;0;0;0.00;0;35.00;3;false
985650ae-9944-11ec-b909-0242ac120002;2020-06-11 21:31:48.823000000;jason.bell01@sap.com;2021-07-15 01:48:30.115000000;jason.bell01@sap.com;0016554532__LOB00008;Rio Tinto Shared Services Pty Ltd - Business Technology Platform;LOB - Business Technology Platform;Active;APJ excl. GC;ANZ;Australia;Reg Misc Com Sector;010787221A8E4645C17002DF03754AB66;597.96;Average;Neutral(CHS);Green;None;1.40;0.00;;0;[LPR1018];;2022-06-06;329;Protect;GSS-SCP;2019-06-09;0;2019-06-07;EUR;false;0;1;Deloitte;0;0;0;0;0.00;0;0.00;3;false
985651da-9944-11ec-b909-0242ac120002;2020-06-11 21:30:54.980000000;jason.bell01@sap.com;2021-07-15 01:49:00.991000000;jason.bell01@sap.com;0000161430__LOB00016;BHP Billiton Group Operations Pty. Ltd. - Analytics;LOB - Analytics;Active;APJ excl. GC;ANZ;Australia;Iron Ores;010787221A8E4645C17002DF03754AB66;1700651.40;Healthy;Healthy(CHS);Green;None;0.75;0.41;;0;[LPR001];;2023-09-30;810;Feature;GSS-SCP;2020-10-26;0;2018-10-01;EUR;false;2;1;Accenture;6;5;0;0;0.00;0;55.00;3;false
98565356-9944-11ec-b909-0242ac120002;2020-06-11 21:32:00.284000000;jason.bell01@sap.com;2021-07-15 01:48:25.372000000;jason.bell01@sap.com;0001138969__LOB00008;Sydney Olympic Park Authority - Business Technology Platform;LOB - Business Technology Platform;Active;APJ excl. GC;ANZ;Australia;Reg Misc Com Sector;040787221A8E4645C17002DF03754AB66;137.99;Poor;Unhealthy(CHS);Red;Customer Controls;0.00;0.00;;0;[LPR1018];;2021-09-15;65;Protect;GSS-SCP;2020-06-18;0;2020-03-16;EUR;false;0;0;;0;0;0;0;0.00;0;0.00;1;false
98565504-9944-11ec-b909-0242ac120002;2020-06-11 21:31:57.415000000;jason.bell01@sap.com;2021-07-15 01:48:26.394000000;jason.bell01@sap.com;0024798370__LOB00016;South Western Sydney Local Health - Analytics;LOB - Analytics;Active;APJ excl. GC;ANZ;Australia;Admin,Public Health;040787221A8E4645C17002DF03754AB66;2439.66;Poor;Unhealthy(CHS);Green;None;0.70;0.70;;0;[LPR001];;2023-05-31;688;Protect;GSS-SCP;2020-11-05;0;2020-06-01;EUR;false;0;0;;0;0;0;0;0.00;0;0.00;3;false
98565505-9944-11ec-b909-0242ac120002;2021-06-11 21:31:58.415000000;jason.bell01@sap.com;2021-07-15 01:49:27.394000000;jason.bell01@sap.com;0002123967__LOB00008;Brisbane City Council - Business Technology Platform;LOB - Business Technology Platform;Active;CS APJ;CS ANZ;Australia;General Government, NEC;020787221A8E4645C17002DF03754AB66;10279.00;green;Healthy(CHS);Green;Customer Unresponsive;0.00;0.66;;;[LPR499];Auto;2022-07-07;115;Digital;GSS-SCP;2020-09-21 03:56:52.000000000;;;EUR;false;0;0;;0;0;0;0;0.00;0;0.00;3;false
